State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	4.24668	3.93769	3.58908	3.55739	3.45439	3.27216	3.24047	3.15332	2.87602	2.55118	2.56703	2.63041	2.74133	2.74133	2.63833	2.47987	2.46403	2.51949	2.59079	2.55118	2.66210
2	2.53166	2.59545	2.67917	2.67519	2.64329	2.59146	2.69114	2.70708	2.75094	2.70310	2.64728	2.57552	2.53166	2.47983	2.54761	2.67120	2.66323	2.56356	2.54761	2.49179	2.55558
3	2.16042	2.29480	2.23623	2.25690	2.33270	2.41540	2.53600	2.53255	2.66693	2.51877	2.28102	2.26724	2.35338	2.25690	2.16387	2.14319	2.13286	2.07773	1.98814	2.05361	2.08117
4	1.32417	1.30340	1.35771	1.38965	1.37368	1.30340	1.32896	1.36250	1.37208	1.37847	1.52223	1.54140	1.57334	1.64363	1.71071	1.72828	1.65960	1.66279	1.69314	1.74266	1.76981
5	2.73934	2.73346	2.71582	2.48656	2.51008	2.60413	2.42190	2.55123	2.48656	2.77461	2.58062	2.62177	2.51596	2.53359	2.54535	2.48069	2.68643	2.82163	2.64528	2.63940	2.45717
6	4.76502	4.83599	4.92723	4.83599	4.84613	4.74474	4.70419	4.54198	4.21755	3.87285	3.37607	3.18344	2.85901	2.90970	2.96039	3.02122	3.04150	3.25441	3.19358	3.20371	3.22399
7	1.51461	1.49448	1.47722	1.49376	1.49807	1.52468	1.53547	1.54050	1.54482	1.55920	1.58581	1.56855	1.56424	1.54698	1.55273	1.55561	1.54626	1.53403	1.53691	1.52396	1.53475
8	0.59882	0.59798	0.59899	0.59759	0.59671	0.59675	0.59570	0.59636	0.60184	0.61172	0.62295	0.63392	0.64730	0.66213	0.67376	0.68499	0.69653	0.70886	0.71978	0.72689	0.73474
9	1.81647	1.76786	1.81647	1.88719	1.92254	1.97558	2.08165	2.14795	2.24076	2.35125	2.35125	2.48384	2.52804	2.49710	2.45290	2.53246	2.51036	2.50152	2.39103	2.41313	2.28054
10	3.75948	3.78480	3.78572	3.78986	3.78986	3.79216	3.76638	3.74014	3.68535	3.60571	3.51593	3.41005	3.26641	3.11955	2.98788	2.85529	2.74479	2.62233	2.53256	2.44923	2.36084
11	1.54438	1.53124	1.50495	1.52905	1.55096	1.54000	1.54877	1.55096	1.52686	1.48305	1.42828	1.40199	1.41295	1.41514	1.40857	1.40638	1.42390	1.40638	1.41733	1.41952	1.42390
