state (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11
1	0.7545342694607494	0.16238260346998723	0.0	0.006780779725025202	0.05829981545164302	0.003971381650622152	0.0	0.009708905829280433	0.0036562964508745762	5.125412817093933E-5	6.146938336470928E-4
2	0.0790328541685638	0.6733855469993225	0.12653096106600972	0.03739150097319011	0.08233187749069958	3.7045084687903546E-4	0.0	5.076830077955567E-4	4.0457261537083715E-4	0.0	4.455283216890989E-5
3	0.0	0.0921169979211495	0.7262469129500485	0.14007512356464194	6.186773532938844E-4	3.755673106023345E-5	0.0	0.005887775676120624	0.001231166625332448	0.03327925250115233	5.065366772006415E-4
4	0.0010540597917507713	0.011894629689662291	0.05879089293619109	0.7483303912890237	0.037469540247259195	8.760412118021777E-4	0.0021971983233351837	0.12568871765547732	0.0028214908985779736	0.01085944876892713	1.7589187993347767E-5
5	0.04200114233968193	0.11968229627200733	0.0	0.17730199494887847	0.5681889394677934	0.01832427734185926	0.003885611240189837	0.05752152110963934	0.010771093909985017	7.923353783202649E-4	0.001530787991645264
6	0.004034147337171937	9.316246319389025E-4	1.4173260979028206E-4	0.006113915018465546	0.02956715552645671	0.810882392054748	0.14413681165319006	0.0	0.0030271735991441416	3.82184103888498E-4	7.828634652059798E-4
7	0.0	0.0	0.0	0.0013864771403892708	6.043981528705679E-4	0.012211660820818704	0.9306275644140614	0.051829327999920766	0.0030297419400830417	1.627145854286927E-4	1.481149464275012E-4
8	5.774623259342428E-5	6.1059961640375444E-6	8.245683555588663E-5	0.00449677180386798	4.4286304261395614E-4	0.0	0.0029200290117228265	0.9865338696278011	0.0019281593053044105	0.0016871164797508257	0.0018448816646254456
9	0.0021825814380862295	8.727785970435933E-4	0.002056115789830997	0.011800854440778821	0.009093304486207964	0.001918232213892639	0.020215012506048985	0.22641138387373988	0.7128547949714583	0.01254676124353561	4.818043937687746E-5
10	1.8420242360734457E-6	0.0	0.005238627179964477	0.003865614854937116	5.6445158345135004E-5	1.888042291971867E-5	1.0267231141561688E-4	0.01771694922654511	0.001140878292030402	0.9713322042921538	5.258862374523639E-4
11	1.3101764165878655E-4	4.202391561815821E-5	3.1409824114252073E-4	6.390422131348738E-5	5.154134396937777E-4	1.5357370855872396E-4	3.745732757742868E-4	0.0845471044941565	7.065964293712639E-5	0.0021539875077898085	0.9116336439113569
