State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	4.07655	4.37722	5.15337	6.67771	8.83835	12.16671	18.35495	28.35403	43.28273	60.24620	74.76933	74.33581	61.68662	44.16376	30.59858	21.74625	15.63492	11.31364	8.40482	6.55884	5.34916
2	3.95139	4.53196	5.29550	6.41090	8.13853	10.28488	12.98365	15.49242	15.50649	10.67545	5.72477	7.67408	12.61420	16.92801	16.79782	14.26443	11.70640	9.65857	8.38836	7.06536	6.27367
3	2.17428	2.25031	2.34153	2.25943	2.17124	2.14691	1.94621	1.75767	1.30153	1.12211	1.10387	1.05521	0.93053	0.96702	1.14644	1.55089	1.91580	2.28984	2.46317	2.70949	2.80984
4	3.39315	3.63843	3.76954	3.88231	3.89500	3.64125	3.14645	2.42609	1.64512	1.44494	1.40265	1.28283	1.21657	1.32371	1.81146	2.77570	3.84143	4.48707	4.66892	4.62381	4.30945
5	5.16204	6.00249	7.12828	8.65355	10.25145	12.67942	15.06070	15.74552	15.08664	14.08536	12.22807	10.04393	10.84806	14.26694	19.03988	20.38876	18.54703	16.02048	13.21897	11.30461	9.68596
6	5.54750	6.57647	7.47123	8.82231	10.74604	13.46611	16.90198	20.14100	23.38003	25.42902	26.61010	28.16698	28.05066	27.01274	24.01530	20.57943	17.20620	13.60032	10.96973	8.95653	7.40860
7	3.68011	3.72454	3.76262	3.73533	3.64139	3.46938	3.17868	2.83910	2.48556	2.24056	2.14091	2.08760	2.19105	2.36624	2.63726	2.88734	3.12028	3.31007	3.42178	3.46303	3.44082
8	0.67582	0.65309	0.62804	0.59683	0.55637	0.50366	0.44357	0.38692	0.34393	0.32267	0.31547	0.31505	0.32322	0.33681	0.35691	0.38846	0.42599	0.46444	0.49999	0.52876	0.55304
9	2.12580	2.16091	2.03219	1.93077	1.89957	2.02439	2.07119	2.03609	1.98148	2.02439	1.57192	1.12726	0.92833	0.87762	0.85422	0.90883	1.02585	1.14286	1.16236	1.13506	1.24818
10	0.70982	0.64481	0.58427	0.52170	0.48432	0.46401	0.44085	0.42378	0.42825	0.44247	0.45791	0.47863	0.49163	0.50504	0.51845	0.54242	0.57493	0.64563	0.77117	0.92232	1.09866
11	0.81006	0.77913	0.78106	0.77333	0.75400	0.71533	0.67086	0.64186	0.64186	0.64380	0.66893	0.69600	0.68826	0.69213	0.71920	0.74046	0.76173	0.78686	0.81973	0.84293	0.87773
